"","City","State","Population","lon","lat","location"
"89","Stuttgart","Baden-Württemberg",581100,9.1829321,48.7758459,"Stuttgart"
"90","Trier","Rhineland-Palatinate",99100,6.6371433,49.749992,"Trier"
"91","Ulm","Baden-Württemberg",117700,9.9876076,48.4010822,"Ulm"
"92","Velbert","Northrhine-Westfalia",90500,7.0426775,51.3370703,"Velbert"
"93","Villingen-Schwenningen","Baden-Württemberg",81500,8.4640869,48.0594021,"Villingen-Schwenningen"
"94","Wiesbaden","Hessen",269200,8.2397608,50.0782184,"Wiesbaden"
"95","Wilhelmshaven","Lower Saxony",87800,8.1068722,53.5323403,"Wilhelmshaven"
"96","Witten","Northrhine-Westfalia",103400,7.353197,51.4438926,"Witten"
"97","Wolfsburg","Lower Saxony",119300,10.7865461,52.4226503,"Wolfsburg"
"98","Wuppertal","Northrhine-Westfalia",365400,7.1507636,51.2562128,"Wuppertal"
"99","Würzburg","Bavaria",127200,9.9533548,49.7913044,"Würzburg"
"100","Zwickau","Saxony",100900,12.4733725,50.7102169,"Zwickau"
